"","Treatments","rank","Counts","Probability"
"164","Levobetaxolol","12",2505,0.0501
"165","Dorzolamide","12",11175,0.2235
"166","Betaxolol","12",19710,0.3942
"167","Apraclonidine","12",7071,0.14142
"168","Unoprostone","12",5552,0.11104
"169","Bimatoprost","13",0,0
"170","Travoprost","13",0,0
"171","Latanoprost","13",0,0
"172","Levobunolol","13",0,0
"173","Tafluprost","13",0,0
"174","Timolol","13",0,0
"175","Carteolol","13",15,3e-04
"176","Brinzolamide","13",6,0.00012
"177","Brimonidine","13",1559,0.03118
"178","Levobetaxolol","13",1338,0.02676
"179","Dorzolamide","13",3841,0.07682
"180","Betaxolol","13",15300,0.306
"181","Apraclonidine","13",12604,0.25208
"182","Unoprostone","13",15337,0.30674
"183","Bimatoprost","14",0,0
"184","Travoprost","14",0,0
"185","Latanoprost","14",0,0
"186","Levobunolol","14",0,0
"187","Tafluprost","14",0,0
"188","Timolol","14",0,0
"189","Carteolol","14",5,1e-04
"190","Brinzolamide","14",2,4e-05
"191","Brimonidine","14",309,0.00618
"192","Levobetaxolol","14",466,0.00932
"193","Dorzolamide","14",663,0.01326
"194","Betaxolol","14",5024,0.10048
"195","Apraclonidine","14",17943,0.35886
"196","Unoprostone","14",25588,0.51176
